AB_category	sample	sum_abund	f_groups
phenicol	SRR413611merged	3.2637430107542e-08	antibiotic resistance
phenicol	SRS050925	8.21527148066659e-10	antibiotic resistance
phenicol	MH0080_090130	4.9504012056237e-09	antibiotic resistance
phenicol	Tomsk_2014_02_28_1_L02_L03_merg_33_50trimmed_T_F3	7.0360659162076e-09	antibiotic resistance
phenicol	kazan5500_2014_03_31_1_L01_16BR_50trimmed_T_F3	1.3710506429541e-08	antibiotic resistance
phenicol	185_210_20111102_FRAG_BC_185_210_F3_185	4.04714719634402e-07	antibiotic resistance
phenicol	SRS019968	1.5371369603376e-09	antibiotic resistance
phenicol	kazan5500_2014_03_31_1_L01_25BR_50trimmed_T_F3	2.08866611232871e-08	antibiotic resistance
phenicol	222_257_20111020_FRAG_BC_222_257_F3_257	1.16487893232812e-07	antibiotic resistance
phenicol	Tomsk_2014_02_28_1_L02_L03_merg_27_50trimmed_T_F3	4.19273446330872e-07	antibiotic resistance
phenicol	SRS018427	8.42203439976565e-10	antibiotic resistance
phenicol	T1_T16_20140211_FRAG_BC_T1_T16_F3_T11	7.65458828484291e-08	antibiotic resistance
phenicol	211_251_20111102_FRAG_BC_211_251_F3_211	2.82514705101117e-08	antibiotic resistance
phenicol	SRS013951	3.35348176060364e-09	antibiotic resistance
phenicol	202_209_20111028_FRAG_BC_202_209_F3_204	1.37504281885687e-08	antibiotic resistance
phenicol	61_106_20121101_FRAG_BC_61_106_F3_74	1.67773322235788e-08	antibiotic resistance
phenicol	Tomsk_2014_02_28_1_L01_11_50trimmed_T_F3	7.5904984822384e-08	antibiotic resistance
phenicol	Tomsk_2014_02_28_1_L01_14_50trimmed_T_F3	2.94795264429021e-08	antibiotic resistance
phenicol	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_1P	1.88800449586068e-08	antibiotic resistance
phenicol	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_316	5.75469706305361e-09	antibiotic resistance
phenicol	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_312	4.88982055514232e-09	antibiotic resistance
phenicol	Tomsk_2014_02_28_1_L02_L03_merg_40_50trimmed_T_F3	7.88214485123992e-08	antibiotic resistance
phenicol	211_251_20111102_FRAG_BC_211_251_F3_216	1.96778481012547e-08	antibiotic resistance
phenicol	MH0013_081120	4.10431242318649e-09	antibiotic resistance
phenicol	SRR413557merged	1.48007696931786e-09	antibiotic resistance
phenicol	SRR413766merged	1.1221350273831e-08	antibiotic resistance
phenicol	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_41P	1.3302445224363e-08	antibiotic resistance
phenicol	SRR413580merged	1.31247202511061e-07	antibiotic resistance
phenicol	SRR413717merged	8.81901009261371e-09	antibiotic resistance
phenicol	SRR413558merged	9.38792905371771e-10	antibiotic resistance
phenicol	185_210_20111102_FRAG_BC_185_210_F3_193	1.6183838759627e-08	antibiotic resistance
phenicol	kazan5500_2014_03_31_1_L02_60BR_50trimmed_T_F3	3.26986320023151e-08	antibiotic resistance
phenicol	SRR413743merged	2.57635419716776e-07	antibiotic resistance
phenicol	SRR413618merged	7.64137657793072e-08	antibiotic resistance
phenicol	SRR413716merged	6.2880204328012e-09	antibiotic resistance
phenicol	solid0717_20101126_FRAG_BC_1_Barcoded_pool_F3_Lib_38	1.63089668322168e-08	antibiotic resistance
phenicol	MH0081_090130	1.47773272293129e-09	antibiotic resistance
phenicol	MH0001_081026	1.60638338027317e-09	antibiotic resistance
phenicol	SRR413707merged	8.1823523214672e-09	antibiotic resistance
phenicol	MH0075_090125	2.21928413963553e-08	antibiotic resistance
phenicol	SRR413769merged	1.36877962804739e-09	antibiotic resistance
phenicol	SRR413770merged	1.29145085855296e-08	antibiotic resistance
phenicol	61_106_20121101_FRAG_BC_61_106_F3_106	1.08465846894901e-06	antibiotic resistance
phenicol	SRR413599merged	2.99039191733668e-08	antibiotic resistance
phenicol	Sh_260_20111020_FRAG_BC_Sh_260_F3_255	3.67945768515742e-09	antibiotic resistance
phenicol	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_T25	2.58983716694367e-08	antibiotic resistance
phenicol	kazan5500_2014_03_31_1_L02_49BR_50trimmed_T_F3	5.57217448058967e-09	antibiotic resistance
phenicol	T1_T16_20140211_FRAG_BC_T1_T16_F3_T3	1.20801582358552e-08	antibiotic resistance
phenicol	SRR413560merged	1.14770851440185e-08	antibiotic resistance
phenicol	MH0008_081123	1.21455850927916e-07	antibiotic resistance
phenicol	MH0003_090107	2.15885651378072e-09	antibiotic resistance
phenicol	MH0067_090126	1.19966409144393e-09	antibiotic resistance
phenicol	SRR413608merged	5.74932158291122e-09	antibiotic resistance
phenicol	SRR413591merged	1.98509079816034e-09	antibiotic resistance
phenicol	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_Br05	1.19509719065527e-07	antibiotic resistance
phenicol	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_Br02	2.35912759791272e-08	antibiotic resistance
phenicol	211_251_20111102_FRAG_BC_211_251_F3_215	4.40986904667775e-08	antibiotic resistance
phenicol	SRR413570merged	1.6197480443266e-07	antibiotic resistance
phenicol	SRS011271	2.38171042233705e-10	antibiotic resistance
phenicol	MH0068_090126	2.31872220836743e-09	antibiotic resistance
phenicol	SRS015794	1.45579360730075e-09	antibiotic resistance
phenicol	SRR413566merged	8.42772308813702e-08	antibiotic resistance
phenicol	SRR413604merged	5.92623250180977e-09	antibiotic resistance
phenicol	Sh_260_20111020_FRAG_BC_Sh_260_F3_256	4.54323852252042e-10	antibiotic resistance
phenicol	SRR413616merged	1.81676249114764e-08	antibiotic resistance
phenicol	MH0028_090121	2.46906411142608e-08	antibiotic resistance
phenicol	SRR413600merged	5.04470806101397e-09	antibiotic resistance
phenicol	SRR413637merged	3.44314516047199e-07	antibiotic resistance
phenicol	SRR413577merged	1.06383687187909e-08	antibiotic resistance
